127.0.0.1 - - [10/Aug/2025:20:11:46 +0000] "GET /health HTTP/1.1" 502 150 "-" "curl/8.14.1" "-" rt=3.078 uct="-" uht="-" urt="3.077"
127.0.0.1 - - [10/Aug/2025:20:13:35 +0000] "GET /health HTTP/1.1" 500 308 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
185.199.109.133 - - [10/Aug/2025:20:13:41 +0000] "GET /health HTTP/1.1" 500 309 "-" "curl/7.86.0" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:14:05 +0000] "GET /health HTTP/1.1" 500 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:14:35 +0000] "GET /health HTTP/1.1" 500 308 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:15:05 +0000] "GET /health HTTP/1.1" 500 312 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:15:35 +0000] "GET /health HTTP/1.1" 500 312 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:16:05 +0000] "GET /health HTTP/1.1" 500 311 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:20:16:35 +0000] "GET /health HTTP/1.1" 500 312 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:17:36 +0000] "GET /health HTTP/1.1" 500 308 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:18:06 +0000] "GET /health HTTP/1.1" 500 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:18:36 +0000] "GET /health HTTP/1.1" 500 307 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:20:19:06 +0000] "GET /health HTTP/1.1" 500 312 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:20:19:36 +0000] "GET /health HTTP/1.1" 500 304 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:20:06 +0000] "GET /health HTTP/1.1" 500 306 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
